"id","form_name","form_definition"
11,"Student Enrollment Form","{""fields"": [{""id"": 1, ""name"": ""studentName"", ""type"": ""text"", ""required"": true, ""placeholder"": ""Student Name""}, {""id"": 2, ""name"": ""dob"", ""type"": ""date"", ""required"": true, ""placeholder"": ""Date of Birth""}, {""id"": 3, ""name"": ""email"", ""type"": ""email"", ""required"": true, ""placeholder"": ""Student Email""}, {""id"": 4, ""name"": ""phone"", ""type"": ""text"", ""placeholder"": ""Phone Number""}, {""id"": 5, ""name"": ""address"", ""type"": ""textarea"", ""placeholder"": ""Home Address""}, {""id"": 6, ""name"": ""course"", ""type"": ""select"", ""options"": [""Science"", ""Commerce"", ""Arts""], ""placeholder"": ""Select Course""}, {""id"": 7, ""name"": ""gender"", ""type"": ""radio"", ""options"": [""Male"", ""Female"", ""Other""], ""placeholder"": ""Gender""}, {""id"": 8, ""name"": ""newsletter"", ""type"": ""checkbox"", ""placeholder"": ""Subscribe to newsletter?""}, {""id"": 9, ""name"": ""password"", ""type"": ""password"", ""required"": true, ""placeholder"": ""Create Password""}]}"
12,"Library Membership Form","{""fields"": [{""id"": 1, ""name"": ""fullName"", ""type"": ""text"", ""required"": true, ""placeholder"": ""Full Name""}, {""id"": 2, ""name"": ""dob"", ""type"": ""date"", ""placeholder"": ""Date of Birth""}, {""id"": 3, ""name"": ""email"", ""type"": ""email"", ""required"": true, ""placeholder"": ""Email""}, {""id"": 4, ""name"": ""phone"", ""type"": ""text"", ""placeholder"": ""Phone Number""}, {""id"": 5, ""name"": ""address"", ""type"": ""textarea"", ""placeholder"": ""Address""}, {""id"": 6, ""name"": ""membershipType"", ""type"": ""select"", ""options"": [""Regular"", ""Premium""], ""placeholder"": ""Membership Type""}, {""id"": 7, ""name"": ""gender"", ""type"": ""radio"", ""options"": [""Male"", ""Female"", ""Other""], ""placeholder"": ""Gender""}, {""id"": 8, ""name"": ""newsletter"", ""type"": ""checkbox"", ""placeholder"": ""Subscribe to newsletter?""}, {""id"": 9, ""name"": ""password"", ""type"": ""password"", ""required"": true, ""placeholder"": ""Create Password""}]}"
13,"Customer Feedback Form","{""fields"": [{""id"": 1, ""name"": ""name"", ""type"": ""text"", ""required"": true, ""placeholder"": ""Your Name""}, {""id"": 2, ""name"": ""email"", ""type"": ""email"", ""required"": true, ""placeholder"": ""Your Email""}, {""id"": 3, ""name"": ""product"", ""type"": ""text"", ""placeholder"": ""Product Name""}, {""id"": 4, ""name"": ""rating"", ""type"": ""select"", ""options"": [""1"", ""2"", ""3"", ""4"", ""5""], ""required"": true, ""placeholder"": ""Rating""}, {""id"": 5, ""name"": ""comments"", ""type"": ""textarea"", ""placeholder"": ""Your Comments""}, {""id"": 6, ""name"": ""recommend"", ""type"": ""radio"", ""options"": [""Yes"", ""No""], ""placeholder"": ""Would you recommend us?""}, {""id"": 7, ""name"": ""newsletter"", ""type"": ""checkbox"", ""placeholder"": ""Subscribe to newsletter?""}, {""id"": 8, ""name"": ""contact"", ""type"": ""text"", ""placeholder"": ""Contact Number""}, {""id"": 9, ""name"": ""purchaseDate"", ""type"": ""date"", ""placeholder"": ""Date of Purchase""}]}"
14,"Employee Onboarding Form","{""fields"": [{""id"": 1, ""name"": ""fullName"", ""type"": ""text"", ""required"": true, ""placeholder"": ""Full Name""}, {""id"": 2, ""name"": ""dob"", ""type"": ""date"", ""placeholder"": ""Date of Birth""}, {""id"": 3, ""name"": ""email"", ""type"": ""email"", ""required"": true, ""placeholder"": ""Email""}, {""id"": 4, ""name"": ""phone"", ""type"": ""text"", ""placeholder"": ""Phone Number""}, {""id"": 5, ""name"": ""address"", ""type"": ""textarea"", ""placeholder"": ""Address""}, {""id"": 6, ""name"": ""department"", ""type"": ""select"", ""options"": [""HR"", ""Finance"", ""IT"", ""Sales""], ""placeholder"": ""Department""}, {""id"": 7, ""name"": ""gender"", ""type"": ""radio"", ""options"": [""Male"", ""Female"", ""Other""], ""placeholder"": ""Gender""}, {""id"": 8, ""name"": ""newsletter"", ""type"": ""checkbox"", ""placeholder"": ""Subscribe to newsletter?""}, {""id"": 9, ""name"": ""password"", ""type"": ""password"", ""required"": true, ""placeholder"": ""Create Password""}]}"
15,"Vendor Registration Form","{""fields"": [{""id"": 1, ""name"": ""vendorName"", ""type"": ""text"", ""required"": true, ""placeholder"": ""Vendor Name""}, {""id"": 2, ""name"": ""email"", ""type"": ""email"", ""required"": true, ""placeholder"": ""Email""}, {""id"": 3, ""name"": ""phone"", ""type"": ""text"", ""placeholder"": ""Phone Number""}, {""id"": 4, ""name"": ""address"", ""type"": ""textarea"", ""placeholder"": ""Address""}, {""id"": 5, ""name"": ""category"", ""type"": ""select"", ""options"": [""Electronics"", ""Groceries"", ""Clothing"", ""Furniture""], ""placeholder"": ""Category""}, {""id"": 6, ""name"": ""rating"", ""type"": ""select"", ""options"": [""1"", ""2"", ""3"", ""4"", ""5""], ""placeholder"": ""Rating""}, {""id"": 7, ""name"": ""newsletter"", ""type"": ""checkbox"", ""placeholder"": ""Subscribe to newsletter?""}, {""id"": 8, ""name"": ""contactPerson"", ""type"": ""text"", ""placeholder"": ""Contact Person""}, {""id"": 9, ""name"": ""website"", ""type"": ""text"", ""placeholder"": ""Website URL""}]}"
16,"Course Registration Form","{""fields"": [{""id"": 1, ""name"": ""studentName"", ""type"": ""text"", ""required"": true, ""placeholder"": ""Student Name""}, {""id"": 2, ""name"": ""dob"", ""type"": ""date"", ""placeholder"": ""Date of Birth""}, {""id"": 3, ""name"": ""email"", ""type"": ""email"", ""required"": true, ""placeholder"": ""Email""}, {""id"": 4, ""name"": ""phone"", ""type"": ""text"", ""placeholder"": ""Phone Number""}, {""id"": 5, ""name"": ""address"", ""type"": ""textarea"", ""placeholder"": ""Home Address""}, {""id"": 6, ""name"": ""course"", ""type"": ""select"", ""options"": [""Mathematics"", ""Physics"", ""Chemistry"", ""Biology""], ""placeholder"": ""Select Course""}, {""id"": 7, ""name"": ""gender"", ""type"": ""radio"", ""options"": [""Male"", ""Female"", ""Other""], ""placeholder"": ""Gender""}, {""id"": 8, ""name"": ""newsletter"", ""type"": ""checkbox"", ""placeholder"": ""Subscribe to newsletter?""}, {""id"": 9, ""name"": ""password"", ""type"": ""password"", ""required"": true, ""placeholder"": ""Create Password""}]}"
17,"Product Feedback Form","{""fields"": [{""id"": 1, ""name"": ""productName"", ""type"": ""text"", ""required"": true, ""placeholder"": ""Product Name""}, {""id"": 2, ""name"": ""purchaseDate"", ""type"": ""date"", ""placeholder"": ""Date of Purchase""}, {""id"": 3, ""name"": ""email"", ""type"": ""email"", ""placeholder"": ""Your Email""}, {""id"": 4, ""name"": ""rating"", ""type"": ""select"", ""options"": [""1"", ""2"", ""3"", ""4"", ""5""], ""required"": true, ""placeholder"": ""Rating""}, {""id"": 5, ""name"": ""comments"", ""type"": ""textarea"", ""required"": true, ""placeholder"": ""Your Comments""}, {""id"": 6, ""name"": ""recommend"", ""type"": ""radio"", ""options"": [""Yes"", ""No""], ""placeholder"": ""Would you recommend this product?""}, {""id"": 7, ""name"": ""newsletter"", ""type"": ""checkbox"", ""placeholder"": ""Subscribe to newsletter?""}, {""id"": 8, ""name"": ""contact"", ""type"": ""text"", ""placeholder"": ""Contact Number""}, {""id"": 9, ""name"": ""password"", ""type"": ""password"", ""placeholder"": ""Create Password""}]}"
18,"Medical Appointment Form","{""fields"": [{""id"": 1, ""name"": ""patientName"", ""type"": ""text"", ""required"": true, ""placeholder"": ""Patient Name""}, {""id"": 2, ""name"": ""dob"", ""type"": ""date"", ""required"": true, ""placeholder"": ""Date of Birth""}, {""id"": 3, ""name"": ""email"", ""type"": ""email"", ""placeholder"": ""Email""}, {""id"": 4, ""name"": ""phone"", ""type"": ""text"", ""placeholder"": ""Phone Number""}, {""id"": 5, ""name"": ""address"", ""type"": ""textarea"", ""placeholder"": ""Address""}, {""id"": 6, ""name"": ""doctor"", ""type"": ""select"", ""options"": [""Dr. Smith"", ""Dr. Jones"", ""Dr. Brown""], ""placeholder"": ""Select Doctor""}, {""id"": 7, ""name"": ""gender"", ""type"": ""radio"", ""options"": [""Male"", ""Female"", ""Other""], ""placeholder"": ""Gender""}, {""id"": 8, ""name"": ""newsletter"", ""type"": ""checkbox"", ""placeholder"": ""Subscribe to newsletter?""}, {""id"": 9, ""name"": ""password"", ""type"": ""password"", ""placeholder"": ""Create Password""}]}"
19,"Event Feedback Form","{""fields"": [{""id"": 1, ""name"": ""eventName"", ""type"": ""text"", ""required"": true, ""placeholder"": ""Event Name""}, {""id"": 2, ""name"": ""email"", ""type"": ""email"", ""required"": true, ""placeholder"": ""Your Email""}, {""id"": 3, ""name"": ""rating"", ""type"": ""select"", ""options"": [""1"", ""2"", ""3"", ""4"", ""5""], ""placeholder"": ""Rating""}, {""id"": 4, ""name"": ""comments"", ""type"": ""textarea"", ""required"": true, ""placeholder"": ""Your Comments""}, {""id"": 5, ""name"": ""recommend"", ""type"": ""radio"", ""options"": [""Yes"", ""No""], ""placeholder"": ""Would you recommend this event?""}, {""id"": 6, ""name"": ""newsletter"", ""type"": ""checkbox"", ""placeholder"": ""Subscribe to newsletter?""}, {""id"": 7, ""name"": ""contact"", ""type"": ""text"", ""placeholder"": ""Contact Number""}, {""id"": 8, ""name"": ""password"", ""type"": ""password"", ""placeholder"": ""Create Password""}]}"
20,"Internship Application Form","{""fields"": [{""id"": 1, ""name"": ""fullName"", ""type"": ""text"", ""required"": true, ""placeholder"": ""Full Name""}, {""id"": 2, ""name"": ""dob"", ""type"": ""date"", ""placeholder"": ""Date of Birth""}, {""id"": 3, ""name"": ""email"", ""type"": ""email"", ""required"": true, ""placeholder"": ""Email""}, {""id"": 4, ""name"": ""phone"", ""type"": ""text"", ""placeholder"": ""Phone Number""}, {""id"": 5, ""name"": ""address"", ""type"": ""textarea"", ""placeholder"": ""Address""}, {""id"": 6, ""name"": ""department"", ""type"": ""select"", ""options"": [""HR"", ""Finance"", ""IT"", ""Sales""], ""placeholder"": ""Department""}, {""id"": 7, ""name"": ""gender"", ""type"": ""radio"", ""options"": [""Male"", ""Female"", ""Other""], ""placeholder"": ""Gender""}, {""id"": 8, ""name"": ""newsletter"", ""type"": ""checkbox"", ""placeholder"": ""Subscribe to newsletter?""}, {""id"": 9, ""name"": ""password"", ""type"": ""password"", ""required"": true, ""placeholder"": ""Create Password""}]}"
21,"Hotel Booking Form","{""fields"": [{""id"": 1, ""name"": ""fullName"", ""type"": ""text"", ""required"": true, ""placeholder"": ""Full Name""}, {""id"": 2, ""name"": ""dob"", ""type"": ""date"", ""placeholder"": ""Date of Birth""}, {""id"": 3, ""name"": ""email"", ""type"": ""email"", ""required"": true, ""placeholder"": ""Email""}, {""id"": 4, ""name"": ""phone"", ""type"": ""text"", ""placeholder"": ""Phone Number""}, {""id"": 5, ""name"": ""address"", ""type"": ""textarea"", ""placeholder"": ""Address""}, {""id"": 6, ""name"": ""roomType"", ""type"": ""select"", ""options"": [""Single"", ""Double"", ""Suite""], ""placeholder"": ""Room Type""}, {""id"": 7, ""name"": ""gender"", ""type"": ""radio"", ""options"": [""Male"", ""Female"", ""Other""], ""placeholder"": ""Gender""}, {""id"": 8, ""name"": ""newsletter"", ""type"": ""checkbox"", ""placeholder"": ""Subscribe to newsletter?""}, {""id"": 9, ""name"": ""password"", ""type"": ""password"", ""required"": true, ""placeholder"": ""Create Password""}]}"
22,"Gym Membership Form","{""fields"": [{""id"": 1, ""name"": ""fullName"", ""type"": ""text"", ""required"": true, ""placeholder"": ""Full Name""}, {""id"": 2, ""name"": ""dob"", ""type"": ""date"", ""placeholder"": ""Date of Birth""}, {""id"": 3, ""name"": ""email"", ""type"": ""email"", ""placeholder"": ""Email""}, {""id"": 4, ""name"": ""phone"", ""type"": ""text"", ""placeholder"": ""Phone Number""}, {""id"": 5, ""name"": ""address"", ""type"": ""textarea"", ""placeholder"": ""Address""}, {""id"": 6, ""name"": ""membershipType"", ""type"": ""select"", ""options"": [""Regular"", ""Premium""], ""placeholder"": ""Membership Type""}, {""id"": 7, ""name"": ""gender"", ""type"": ""radio"", ""options"": [""Male"", ""Female"", ""Other""], ""placeholder"": ""Gender""}, {""id"": 8, ""name"": ""newsletter"", ""type"": ""checkbox"", ""placeholder"": ""Subscribe to newsletter?""}, {""id"": 9, ""name"": ""password"", ""type"": ""password"", ""required"": true, ""placeholder"": ""Create Password""}]}"
23,"Conference Registration Form","{""fields"": [{""id"": 1, ""name"": ""fullName"", ""type"": ""text"", ""required"": true, ""placeholder"": ""Full Name""}, {""id"": 2, ""name"": ""dob"", ""type"": ""date"", ""placeholder"": ""Date of Birth""}, {""id"": 3, ""name"": ""email"", ""type"": ""email"", ""required"": true, ""placeholder"": ""Email""}, {""id"": 4, ""name"": ""phone"", ""type"": ""text"", ""placeholder"": ""Phone Number""}, {""id"": 5, ""name"": ""address"", ""type"": ""textarea"", ""placeholder"": ""Address""}, {""id"": 6, ""name"": ""conference"", ""type"": ""select"", ""options"": [""Tech Conference"", ""Business Conference"", ""Health Conference""], ""placeholder"": ""Conference""}, {""id"": 7, ""name"": ""gender"", ""type"": ""radio"", ""options"": [""Male"", ""Female"", ""Other""], ""placeholder"": ""Gender""}, {""id"": 8, ""name"": ""newsletter"", ""type"": ""checkbox"", ""placeholder"": ""Subscribe to newsletter?""}, {""id"": 9, ""name"": ""password"", ""type"": ""password"", ""required"": true, ""placeholder"": ""Create Password""}]}"
24,"Workshop Registration Form","{""fields"": [{""id"": 1, ""name"": ""fullName"", ""type"": ""text"", ""required"": true, ""placeholder"": ""Full Name""}, {""id"": 2, ""name"": ""dob"", ""type"": ""date"", ""placeholder"": ""Date of Birth""}, {""id"": 3, ""name"": ""email"", ""type"": ""email"", ""placeholder"": ""Email""}, {""id"": 4, ""name"": ""phone"", ""type"": ""text"", ""placeholder"": ""Phone Number""}, {""id"": 5, ""name"": ""address"", ""type"": ""textarea"", ""placeholder"": ""Address""}, {""id"": 6, ""name"": ""workshop"", ""type"": ""select"", ""options"": [""Workshop A"", ""Workshop B"", ""Workshop C""], ""placeholder"": ""Workshop""}, {""id"": 7, ""name"": ""gender"", ""type"": ""radio"", ""options"": [""Male"", ""Female"", ""Other""], ""placeholder"": ""Gender""}, {""id"": 8, ""name"": ""newsletter"", ""type"": ""checkbox"", ""placeholder"": ""Subscribe to newsletter?""}, {""id"": 9, ""name"": ""password"", ""type"": ""password"", ""required"": true, ""placeholder"": ""Create Password""}]}"
25,"Sports Event Registration Form","{""fields"": [{""id"": 1, ""name"": ""fullName"", ""type"": ""text"", ""required"": true, ""placeholder"": ""Full Name""}, {""id"": 2, ""name"": ""dob"", ""type"": ""date"", ""placeholder"": ""Date of Birth""}, {""id"": 3, ""name"": ""email"", ""type"": ""email"", ""required"": true, ""placeholder"": ""Email""}, {""id"": 4, ""name"": ""phone"", ""type"": ""text"", ""placeholder"": ""Phone Number""}, {""id"": 5, ""name"": ""address"", ""type"": ""textarea"", ""placeholder"": ""Address""}, {""id"": 6, ""name"": ""sport"", ""type"": ""select"", ""options"": [""Football"", ""Basketball"", ""Tennis""], ""placeholder"": ""Sport""}, {""id"": 7, ""name"": ""gender"", ""type"": ""radio"", ""options"": [""Male"", ""Female"", ""Other""], ""placeholder"": ""Gender""}, {""id"": 8, ""name"": ""newsletter"", ""type"": ""checkbox"", ""placeholder"": ""Subscribe to newsletter?""}, {""id"": 9, ""name"": ""password"", ""type"": ""password"", ""required"": true, ""placeholder"": ""Create Password""}]}"
26,"Training Program Form","{""fields"": [{""id"": 1, ""name"": ""fullName"", ""type"": ""text"", ""required"": true, ""placeholder"": ""Full Name""}, {""id"": 2, ""name"": ""dob"", ""type"": ""date"", ""placeholder"": ""Date of Birth""}, {""id"": 3, ""name"": ""email"", ""type"": ""email"", ""required"": true, ""placeholder"": ""Email""}, {""id"": 4, ""name"": ""phone"", ""type"": ""text"", ""placeholder"": ""Phone Number""}, {""id"": 5, ""name"": ""address"", ""type"": ""textarea"", ""placeholder"": ""Address""}, {""id"": 6, ""name"": ""program"", ""type"": ""select"", ""options"": [""Program A"", ""Program B"", ""Program C""], ""placeholder"": ""Program""}, {""id"": 7, ""name"": ""gender"", ""type"": ""radio"", ""options"": [""Male"", ""Female"", ""Other""], ""placeholder"": ""Gender""}, {""id"": 8, ""name"": ""newsletter"", ""type"": ""checkbox"", ""placeholder"": ""Subscribe to newsletter?""}, {""id"": 9, ""name"": ""password"", ""type"": ""password"", ""required"": true, ""placeholder"": ""Create Password""}]}"
27,"Membership Renewal Form","{""fields"": [{""id"": 1, ""name"": ""fullName"", ""type"": ""text"", ""required"": true, ""placeholder"": ""Full Name""}, {""id"": 2, ""name"": ""dob"", ""type"": ""date"", ""placeholder"": ""Date of Birth""}, {""id"": 3, ""name"": ""email"", ""type"": ""email"", ""placeholder"": ""Email""}, {""id"": 4, ""name"": ""phone"", ""type"": ""text"", ""placeholder"": ""Phone Number""}, {""id"": 5, ""name"": ""address"", ""type"": ""textarea"", ""placeholder"": ""Address""}, {""id"": 6, ""name"": ""membershipType"", ""type"": ""select"", ""options"": [""Regular"", ""Premium""], ""placeholder"": ""Membership Type""}, {""id"": 7, ""name"": ""gender"", ""type"": ""radio"", ""options"": [""Male"", ""Female"", ""Other""], ""placeholder"": ""Gender""}, {""id"": 8, ""name"": ""newsletter"", ""type"": ""checkbox"", ""placeholder"": ""Subscribe to newsletter?""}, {""id"": 9, ""name"": ""password"", ""type"": ""password"", ""required"": true, ""placeholder"": ""Create Password""}]}"
